Username,Profile URL,Subscribers,Twitter,Instagram,TikTok,LinkedIn,Facebook,YouTube,Linktree,Threads,Bluesky,GitHub,Medium,Other,Scraped At,Category
lancaric,https://substack.com/@lancaric,13000,,,,https://www.linkedin.com/in/matejlancaric/,,,,,,,,https://lancaric.me,2026-01-22 01:51:31,Technology
fromnerdtoyou,https://substack.com/@fromnerdtoyou,322,,https://instagram.com/ninifaye,,https://www.linkedin.com/in/silkelakeit/,,,,,,,,,2026-01-22 01:51:31,Technology
sebastianbarros,https://substack.com/@sebastianbarros,7000,,,,,,,,,,,,https://www.amazon.com/dp/B0DYPJYZ2F?ref=cm_sw_r_ffobk_cp_ud_dp_51N3G34DRSGG8N43TDQE&ref_=cm_sw_r_ffobk_cp_ud_dp_51N3G34DRSGG8N43TDQE&social_share=cm_sw_r_ffobk_cp_ud_dp_51N3G34DRSGG8N43TDQE&bestFormat=true,2026-01-22 01:51:31,Technology
natesnewsletter,https://substack.com/@natesnewsletter,80000,,,,https://www.linkedin.com/in/natebjones/,,,https://linktr.ee/natebjones,,,,,,2026-01-22 01:51:31,Technology
techfund,https://substack.com/@techfund,14000,https://twitter.com/techfund1,,,,,,,,,,,https://www.techinvestments.io/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
rasbt,https://substack.com/@rasbt,157000,,,,,,,,,,,,https://magazine.sebastianraschka.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
aakashgupta,https://substack.com/@aakashgupta,208000,,,,https://www.linkedin.com/in/aagupta/,,https://www.youtube.com/@growproduct/videos,,,,,,https://www.news.aakashg.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
bensbites,https://substack.com/@bensbites,150000,,,,https://www.linkedin.com/in/ben-tossell-70453537/,,,,,,,,https://www.bensbites.com/?utm_campaign=profile_chips,2026-01-22 01:51:31,Technology
ciguleva,https://substack.com/@ciguleva,1700,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
carlosdiaz,https://substack.com/@carlosdiaz,26000,,,,,,,,,,,,,2026-01-22 01:51:31,Technology
